File Name,BldgLoc,BldgType,Story,BldgHVAC,BldgVint,TechGroup,TechType,TechID,Cohort,Case,Type/CHW CHILLER 1,Reference Capacity/CHW CHILLER 1,Reference Efficiency/CHW CHILLER 1,Rated Capacity/CHW CHILLER 1,Rated Efficiency/CHW CHILLER 1,IPLV in SI Units/CHW CHILLER 1,Chiller Cooling Capacity,Occupied unmet heating hour,Occupied unmet cooling hour	,Value/Program Version and Build,Value/Weather File,Area/Conditioned Total,Electricity Intensity/HVAC,Natural Gas Intensity/HVAC,Electricity/Heating,Electricity/Cooling,Electricity/Interior Lighting,Electricity/Exterior Lighting,Electricity/Interior Equipment,Electricity/Exterior Equipment,Electricity/Fans,Electricity/Pumps,Electricity/Heat Rejection,Electricity/Humidification,Electricity/Heat Recovery,Electricity/Water Systems,Electricity/Refrigeration,Electricity/Generators,Natural Gas/Heating,Natural Gas/Cooling,Natural Gas/Interior Lighting,Natural Gas/Exterior Lighting,Natural Gas/Interior Equipment,Natural Gas/Exterior Equipment,Natural Gas/Fans,Natural Gas/Pumps,Natural Gas/Heat Rejection,Natural Gas/Humidification,Natural Gas/Heat Recovery,Natural Gas/Water Systems,Natural Gas/Refrigeration,Natural Gas/Generators,Electricity:Facility [J](Hourly)
runs/CZ01/OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr/ReformEIRChiller Carrier 19XL 1871kW_6.49COP_Vanes/instance-out.sql,CZ01,OfS,0,cAVVG,Ex,Chiller,WtrCldCentChlr,ReformEIRChiller Carrier 19XL 1871kW_6.49COP_Vanes,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XL 1871kW_6.49COP_Vanes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
runs/CZ01/OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr/ReformEIRChiller Carrier 19EX 4997kW_6.40COP_Vanes/instance-out.sql,CZ01,OfS,0,cAVVG,Ex,Chiller,WtrCldCentChlr,ReformEIRChiller Carrier 19EX 4997kW_6.40COP_Vanes,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19EX 4997kW_6.40COP_Vanes,Chiller:Electric:ReformulatedEIR,4997200.0,6.4,4890005.77,6.36,6.61,9323815.57,38.66,86.84,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.08.25 14:54",CA_EUREKA - USA Custom-725940 WMO#=725940,929.25,64.84,51.46,0.0,576.8,23792.96,0.0,29466.65,0.0,7853.93,33200.44,18622.37,0.0,0.0,0.0,0.0,0.0,42771.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5049.17,0.0,0.0,271369296.39804983
runs/CZ01/OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr/NE-Chiller-WtrCldCentChlr-0.695-kwpton-0.44-IPLV/instance-out.sql,CZ01,OfS,0,cAVVG,Ex,Chiller,WtrCldCentChlr,NE-Chiller-WtrCldCentChlr-0.695-kwpton-0.44-IPLV,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,NE-Chiller-WtrCldCentChlr-0.695-kwpton-0.44-IPLV,Chiller:Electric:ReformulatedEIR,30671.72,5.1,28377.01,5.09,7.67,30671.72,38.66,139.84,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.08.25 12:24",CA_EUREKA - USA Custom-725940 WMO#=725940,929.25,9.77,51.43,0.0,523.02,23792.96,0.0,29466.65,0.0,7964.83,326.53,267.74,0.0,0.0,0.0,0.0,0.0,42744.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5049.17,0.0,0.0,37630786.1472969
runs/CZ01/OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr/ReformEIRChiller Carrier 19EX 5208kW_6.88COP_Vanes/instance-out.sql,CZ01,OfS,0,cAVVG,Ex,Chiller,WtrCldCentChlr,ReformEIRChiller Carrier 19EX 5208kW_6.88COP_Vanes,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19EX 5208kW_6.88COP_Vanes,Chiller:Electric:ReformulatedEIR,5208200.0,6.88,4470475.05,6.3,7.01,9128156.57,38.66,86.84,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.08.25 14:55",CA_EUREKA - USA Custom-725940 WMO#=725940,929.25,66.56,51.46,0.0,705.64,23792.96,0.0,29466.65,0.0,7853.92,34141.24,19148.72,0.0,0.0,0.0,0.0,0.0,42771.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5049.17,0.0,0.0,279769197.8906684
runs/CZ01/OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr/ReformEIRChiller Carrier 19EX 5148kW_6.34COP_Vanes/instance-out.sql,CZ01,OfS,0,cAVVG,Ex,Chiller,WtrCldCentChlr,ReformEIRChiller Carrier 19EX 5148kW_6.34COP_Vanes,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19EX 5148kW_6.34COP_Vanes,Chiller:Electric:ReformulatedEIR,5148400.0,6.34,4525519.22,5.77,6.74,9006532.04,38.66,86.84,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.08.25 14:55",CA_EUREKA - USA Custom-725940 WMO#=725940,929.25,67.05,51.46,0.0,673.95,23792.96,0.0,29466.65,0.0,7853.92,34454.48,19324.59,0.0,0.0,0.0,0.0,0.0,42770.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5049.17,0.0,0.0,281391749.85603154
runs/CZ01/OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr/ReformEIRChiller Carrier 19FA 5651kW_5.50COP_Vanes/instance-out.sql,CZ01,OfS,0,cAVVG,Ex,Chiller,WtrCldCentChlr,ReformEIRChiller Carrier 19FA 5651kW_5.50COP_Vanes,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19FA 5651kW_5.50COP_Vanes,Chiller:Electric:ReformulatedEIR,5651300.0,5.5,5492473.12,5.44,5.91,7223330.44,38.66,86.84,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.08.25 14:56",CA_EUREKA - USA Custom-725940 WMO#=725940,929.25,52.14,51.46,0.0,733.1,23792.96,0.0,29466.65,0.0,7853.93,25507.54,14353.36,0.0,0.0,0.0,0.0,0.0,42771.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5049.17,0.0,0.0,218791162.1647929
runs/CZ01/OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr/ReformEIRChiller Carrier 19EX 4667kW_6.16COP_Vanes/instance-out.sql,CZ01,OfS,0,cAVVG,Ex,Chiller,WtrCldCentChlr,ReformEIRChiller Carrier 19EX 4667kW_6.16COP_Vanes,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19EX 4667kW_6.16COP_Vanes,Chiller:Electric:ReformulatedEIR,4666600.0,6.16,4558425.93,6.16,6.4,9340353.67,38.66,86.84,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.08.25 14:52",CA_EUREKA - USA Custom-725940 WMO#=725940,929.25,64.8,51.46,0.0,547.36,23792.96,0.0,29466.65,0.0,7853.93,33200.26,18617.37,0.0,0.0,0.0,0.0,0.0,42771.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5049.17,0.0,0.0,271102033.9844121
runs/CZ01/OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr/ReformEIRChiller Carrier 19XL 1779kW_6.18COP_Vanes/instance-out.sql,CZ01,OfS,0,cAVVG,Ex,Chiller,WtrCldCentChlr,ReformEIRChiller Carrier 19XL 1779kW_6.18COP_Vanes,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XL 1779kW_6.18COP_Vanes,Chiller:Electric:ReformulatedEIR,1779400.0,6.18,1774023.66,6.23,6.28,2949149.82,38.66,86.84,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.08.25 14:39",CA_EUREKA - USA Custom-725940 WMO#=725940,929.25,29.72,51.46,0.0,947.33,23792.96,0.0,29466.65,0.0,7853.93,12033.11,6781.26,0.0,0.0,0.0,0.0,0.0,42771.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5049.17,0.0,0.0,124590276.64442208
runs/CZ01/OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr/ReformEIRChiller Carrier 19XL 2057kW_6.05COP_Vanes/instance-out.sql,CZ01,OfS,0,cAVVG,Ex,Chiller,WtrCldCentChlr,ReformEIRChiller Carrier 19XL 2057kW_6.05COP_Vanes,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XL 2057kW_6.05COP_Vanes,Chiller:Electric:ReformulatedEIR,2057200.0,6.05,1825850.93,6.04,6.21,4175741.41,38.66,86.84,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.08.25 14:44",CA_EUREKA - USA Custom-725940 WMO#=725940,929.25,31.35,51.46,0.0,633.21,23792.96,0.0,29466.65,0.0,7853.93,13217.76,7426.41,0.0,0.0,0.0,0.0,0.0,42771.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5049.17,0.0,0.0,129671018.19317646
runs/CZ01/OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr/ReformEIRChiller Carrier 19XL 1797kW_5.69COP_Vanes/instance-out.sql,CZ01,OfS,0,cAVVG,Ex,Chiller,WtrCldCentChlr,ReformEIRChiller Carrier 19XL 1797kW_5.69COP_Vanes,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XL 1797kW_5.69COP_Vanes,Chiller:Electric:ReformulatedEIR,1797000.0,5.69,1798096.04,5.7,4.62,3566144.68,38.66,86.84,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.08.25 14:41",CA_EUREKA - USA Custom-725940 WMO#=725940,929.25,31.44,51.46,0.0,876.29,23792.96,0.0,29466.65,0.0,7853.93,13091.91,7391.56,0.0,0.0,0.0,0.0,0.0,42771.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5049.17,0.0,0.0,131844482.8837073
