Class,Chiller Name,Compressor Type,Reference Capacity kW,Reference Capacity (tons),Reference COP,Unloading mechanism,Comment
Chiller:Electric:EIR,ElectricEIRChiller McQuay WSC 471kW/5.89COP/Vanes,Centrifugal,471,134,5.89,Inlet Vanes,
Chiller:Electric:EIR,ElectricEIRChiller York YT 563kW/10.61COP/Vanes,Centrifugal,563,160,10.61,Inlet Vanes,
Chiller:Electric:EIR,ElectricEIRChiller McQuay PEH 703kW/7.03COP/Vanes,Centrifugal,703,200,7.03,Inlet Vanes,
Chiller:Electric:EIR,ElectricEIRChiller Carrier 23XL 724kW/6.04COP/Vanes,Centrifugal,724,206,6.04,Inlet Vanes,
Chiller:Electric:EIR,ElectricEIRChiller Carrier 19XR 742kW/5.42COP/VSD,Centrifugal,742,211,5.42,VSD,
Chiller:Electric:EIR,ElectricEIRChiller McQuay WSC 816kW/6.74COP/Vanes,Centrifugal,816,232,6.74,Inlet Vanes,
Chiller:Electric:EIR,ElectricEIRChiller McQuay PEH 819kW/8.11COP/Vanes,Centrifugal,819,233,8.11,Inlet Vanes,
Chiller:Electric:EIR,ElectricEIRChiller Carrier 19XR 823kW/6.28COP/Vanes,Centrifugal,823,234,6.28,Inlet Vanes,
Chiller:Electric:EIR,ElectricEIRChiller Carrier 19XR 869kW/5.57COP/VSD,Centrifugal,869,247,5.57,VSD,
Chiller:Electric:EIR,ElectricEIRChiller Carrier 19XR 897kW/7.23COP/VSD,Centrifugal,897,255,7.23,VSD,
Chiller:Electric:EIR,ElectricEIRChiller Carrier 19XR 897kW/6.50COP/Vanes,Centrifugal,897,255,6.50,Inlet Vanes,
Chiller:Electric:EIR,ElectricEIRChiller York YT 897kW/7.60COP/VSD,Centrifugal,897,255,7.60,VSD,
Chiller:Electric:EIR,ElectricEIRChiller York YT 897kW/6.27COP/VSD,Centrifugal,897,255,6.27,VSD,
Chiller:Electric:EIR,ElectricEIRChiller Carrier 19XR 897kW/6.23COP/VSD,Centrifugal,897,255,6.23,VSD,
Chiller:Electric:EIR,ElectricEIRChiller McQuay PFH 932kW/5.09COP/Vanes,Centrifugal,932,265,5.09,Inlet Vanes,
Chiller:Electric:EIR,ElectricEIRChiller York YT 960kW/4.64COP/Vanes,Centrifugal,960,273,4.64,Inlet Vanes,
Chiller:Electric:EIR,ElectricEIRChiller York YT 1023kW/5.81COP/Vanes,Centrifugal,1023,291,5.81,Inlet Vanes,
Chiller:Electric:EIR,ElectricEIRChiller McQuay PEH 1030kW/8.58COP/Vanes,Centrifugal,1030,293,8.58,Inlet Vanes,
Chiller:Electric:EIR,ElectricEIRChiller York YT 1048kW/6.06COP/Vanes,Centrifugal,1048,298,6.06,Inlet Vanes,
Chiller:Electric:EIR,ElectricEIRChiller York YT 1055kW/5.96COP/Vanes,Centrifugal,1055,300,5.96,Inlet Vanes,
Chiller:Electric:EIR,ElectricEIRChiller Carrier 19XR 1076kW/5.52COP/Vanes,Centrifugal,1076,306,5.52,Inlet Vanes,
Chiller:Electric:EIR,ElectricEIRChiller Trane CVHE 1080kW/7.39COP/Vanes,Centrifugal,1080,307,7.39,Inlet Vanes,
Chiller:Electric:EIR,ElectricEIRChiller York YT 1090kW/7.57COP/VSD,Centrifugal,1090,310,7.57,VSD,
Chiller:Electric:EIR,ElectricEIRChiller McQuay PEH 1104kW/8.00COP/Vanes,Centrifugal,1104,314,8.00,Inlet Vanes,
Chiller:Electric:EIR,ElectricEIRChiller York YT 1125kW/7.92COP/VSD,Centrifugal,1125,320,7.92,VSD,
Chiller:Electric:EIR,ElectricEIRChiller Trane CVHE 1125kW/4.89COP/Vanes,Centrifugal,1125,320,4.89,Inlet Vanes,
Chiller:Electric:EIR,ElectricEIRChiller York YT 1125kW/7.92COP/VSD,Centrifugal,1125,320,7.92,VSD,
Chiller:Electric:EIR,ElectricEIRChiller Trane CVHE 1129kW/7.19COP/Vanes,Centrifugal,1129,321,7.19,Inlet Vanes,
