Date/Time,CZ01/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ01/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ01/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ02/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ02/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ02/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ03/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ03/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ03/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ04/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ04/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ04/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ05/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ05/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ05/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ06/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ06/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ06/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ07/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ07/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ07/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ08/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ08/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ08/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ09/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ09/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ09/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ10/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ10/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ10/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ11/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ11/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ11/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ12/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ12/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ12/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ13/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ13/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ13/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ14/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ14/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ14/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ15/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ15/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ15/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ16/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ16/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ16/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv
 01/01  01:00:00,34514856.62704829 ,34514856.62704829 ,34514856.62704829 ,36384658.201795585 ,36384658.201795585 ,36384658.201795585 ,35694084.86439888 ,35686070.75459023 ,35681323.100270055 ,36193066.76453719 ,36208393.7859793 ,36204286.660188 ,36008914.09233213 ,36007140.73599758 ,35973190.91351308 ,37573207.93132704 ,37571909.44134489 ,37570028.9356741 ,37488350.95444448 ,37487096.51171237 ,37485194.76852242 ,37420024.202133 ,37418866.08282107 ,37417096.96640874 ,37845007.37913449 ,37843799.017608024 ,37841919.97015741 ,39192833.30594515 ,39191741.57745573 ,39190135.490677536 ,36996989.01380326 ,36995482.543893434 ,36993469.83707042 ,35837239.42085039 ,35837239.42085039 ,35837239.42085039 ,37030808.85262591 ,37027393.001557946 ,37021729.79896107 ,40513957.36200787 ,40511304.156073675 ,40507477.7558875 ,39334560.582243904 ,39324630.035588056 ,39322761.1922421 ,41290583.933596335 ,41290583.933596335 ,41290583.933596335 
 01/01  02:00:00,34074428.57150073 ,34074428.57150073 ,34074428.57150073 ,35226718.62115763 ,35226243.68768563 ,35225467.09934458 ,35323714.65372119 ,35319133.08315482 ,35314419.62121572 ,35646462.101102315 ,35647355.46596214 ,35643412.332666844 ,35158827.67528212 ,35156632.380325735 ,35161677.22290981 ,36673255.2352071 ,36672284.53427225 ,36670877.573672466 ,36561536.874839164 ,36560693.49540052 ,36559356.42487776 ,36591966.41241078 ,36590977.68653165 ,36589462.89933229 ,37110517.76207451 ,37109439.55360693 ,37107744.23634474 ,40513312.976675116 ,40512302.6838574 ,40510640.57277098 ,36634592.24791029 ,36632687.82689438 ,36630111.22940043 ,35396811.36530284 ,35396811.36530284 ,35396811.36530284 ,36334287.91941396 ,36330721.82314733 ,36325720.710912794 ,41122317.83517314 ,41119553.41525565 ,41115571.20210506 ,37920094.17632571 ,37910811.75769676 ,37909174.44677822 ,40850155.878048785 ,40850155.878048785 ,40850155.878048785 
 01/01  03:00:00,34074428.57150073 ,34074428.57150073 ,34074428.57150073 ,35224230.146248035 ,35224230.146248035 ,35224230.146248035 ,35260525.812477134 ,35256640.06256224 ,35251979.267676696 ,35601328.074363746 ,35600150.464172356 ,35596281.66034885 ,34913205.79257882 ,34912116.07710557 ,34888840.94093203 ,36501693.676196665 ,36500812.88372958 ,36499534.18986354 ,36370606.40537595 ,36369831.31071371 ,36368644.82939324 ,36440307.15495092 ,36439422.138497084 ,36438065.56745793 ,36984587.112511784 ,36983576.151322864 ,36981927.88808512 ,40422707.4724644 ,40421594.413235694 ,40419669.14654401 ,36540162.4250293 ,36538345.92563549 ,36535904.74272366 ,35396811.36530284 ,35396811.36530284 ,35396811.36530284 ,36199193.53280518 ,36195649.68509958 ,36190882.62557621 ,41029037.56650741 ,41026227.41107191 ,41022180.712171085 ,37191790.64213508 ,37183398.76054883 ,37181931.6335467 ,40850155.878048785 ,40850155.878048785 ,40850155.878048785 
 01/01  04:00:00,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,32515059.47204348 ,32515059.47204348 ,32515059.47204348 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,32515059.472043484 ,32515059.472043484 ,32515059.472043484 ,31075059.472043484 ,31075059.472043484 ,31075059.472043484 ,32515059.472043484 ,32515059.472043484 ,32515059.472043484 
 01/01  05:00:00,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,32515059.47204348 ,32515059.47204348 ,32515059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,32515059.47204348 ,32515059.47204348 ,32515059.47204348 ,32515059.47204348 ,32515059.47204348 ,32515059.47204348 ,32515059.47204348 ,32515059.47204348 ,32515059.47204348 
 01/01  06:00:00,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,64054126.3717243 ,64054126.3717243 ,64054126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,64054126.3717243 ,64054126.3717243 ,64054126.3717243 ,64054126.3717243 ,64054126.3717243 ,64054126.3717243 ,64054126.3717243 ,64054126.3717243 ,64054126.3717243 
 01/01  07:00:00,87314626.30654128 ,87316859.0431219 ,87319964.53896384 ,86739944.3247933 ,86742336.47544464 ,86745876.823338 ,86438728.37773442 ,86441745.13600232 ,86446342.10171354 ,86010462.35520354 ,86011360.36710982 ,86012831.45002699 ,85032388.99337003 ,85032465.32201311 ,85032572.20096132 ,84709710.71312758 ,84709710.71312758 ,84709710.71312758 ,84728703.37247469 ,84728569.78117615 ,84728374.32450278 ,84710800.96572082 ,84710802.40230727 ,84710804.50821264 ,84764808.64023198 ,84764883.79911785 ,84764992.70753732 ,89482380.13272081 ,89482481.13334504 ,89482629.61569853 ,85732736.53297144 ,85733162.33968821 ,85733803.62086356 ,87855189.15793084 ,87857509.4870317 ,87860788.03196694 ,86158356.64474158 ,86159975.993196 ,86162332.03609847 ,90211196.51118332 ,90211900.92109396 ,90212878.93072096 ,89029710.71312758 ,89029710.71312758 ,89029710.71312758 ,98332407.65788722 ,98756934.00017513 ,98645640.24617645 
 01/01  08:00:00,244632750.1671344 ,243394674.81830055 ,241625520.3192827 ,243125821.83794153 ,241570439.43131638 ,239354960.80027026 ,237520685.34330016 ,236031191.36442703 ,233900755.66140878 ,237247894.1216712 ,235676577.89003742 ,233427326.24987194 ,235385215.10110644 ,233966914.0388524 ,231933855.59494275 ,225907695.28503382 ,224442164.4443752 ,222348946.80570078 ,226009171.58292735 ,224548408.96180353 ,222448958.09809417 ,238396665.5607734 ,236876826.7110641 ,234706824.73009652 ,242652301.63500896 ,241091429.6382615 ,238863154.19259402 ,263469786.608774 ,261834730.9950347 ,259539267.0704281 ,249506169.55127984 ,247806264.20488596 ,245372186.95203334 ,255513956.13629127 ,254087208.07555562 ,252043031.42336768 ,249770330.68252677 ,248129035.0291351 ,245832386.25262108 ,278437040.26751626 ,276739301.39582354 ,274338900.4802907 ,274298140.8308698 ,272920398.39094317 ,270561620.65639603 ,371027262.6105058 ,370067175.09857315 ,368824434.8963762 
 01/01  09:00:00,237779477.1987972 ,236524923.62609473 ,234732549.34705922 ,239211543.2845462 ,237629459.80130368 ,235368442.06809357 ,233509067.1587032 ,231988684.16903216 ,229814700.98446536 ,233231563.68011472 ,231638759.30913442 ,229361985.69231492 ,226852643.25774136 ,225410451.8537942 ,223321782.1750069 ,221210839.69710147 ,219768624.31505454 ,217655971.39872438 ,227939736.8373092 ,226400834.5920866 ,224208389.84713095 ,231535474.29683942 ,229999646.0443854 ,227806742.16530478 ,234866523.5788112 ,233286673.31942183 ,231030009.00607926 ,250403463.8597219 ,248778855.64872566 ,246456330.61734414 ,245466129.13852632 ,243786093.6459393 ,241340056.73078907 ,249144706.34535643 ,247697107.36077473 ,245624304.26190376 ,249339447.14926034 ,247671573.6038213 ,245385310.4597458 ,261670236.81237572 ,259917077.2014034 ,257410757.25652403 ,247570262.01651397 ,246120128.54075336 ,243727873.67950746 ,339763268.45073146 ,338546365.81521815 ,336818454.655011 
 01/01  10:00:00,242675039.2233524 ,241417591.49128988 ,239621033.0683453 ,243817844.7654971 ,242231211.39315966 ,239963624.02028155 ,238237803.69050798 ,236709260.614659 ,234524194.1933844 ,241809550.1969875 ,240210615.07628006 ,238140039.72371233 ,227060725.63600165 ,225600005.64851615 ,223520368.85835695 ,228981271.5299014 ,227346939.6829966 ,225063507.11982214 ,244829210.55087912 ,243006896.84093234 ,240405645.46049672 ,235457788.02663925 ,233896823.6546372 ,231700978.1251249 ,236242292.8419962 ,234627945.31645116 ,232325686.10006887 ,248628355.67874724 ,246985393.603936 ,244636546.28592712 ,252542363.60084212 ,250820956.20648637 ,248374204.8399228 ,254826192.60413593 ,253377203.7014188 ,251302825.7780928 ,255770491.54015917 ,254097904.56475383 ,251705627.76094535 ,263500544.81406727 ,261731513.14407057 ,259201047.5654967 ,245425122.38904592 ,243588045.07385167 ,241093823.7729056 ,326037247.81600386 ,324791023.6893443 ,323015363.6810714 
