Date/Time,CZ01/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ01/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ01/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ02/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ02/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ02/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ03/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ03/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ03/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ04/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ04/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ04/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ05/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ05/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ05/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ06/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ06/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ06/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ07/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ07/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ07/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ08/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ08/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ08/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ09/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ09/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ09/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ10/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ10/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ10/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ11/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ11/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ11/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ12/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ12/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ12/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ13/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ13/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ13/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ14/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ14/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ14/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ15/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ15/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ15/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ16/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ16/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ16/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv
 01/01  01:00:00,33418108.23634367 ,33416911.534659542 ,33415202.881560553 ,35170882.80641352 ,35169691.89301651 ,35168037.75114786 ,34714288.89107348 ,34713059.63598412 ,34711289.756007254 ,34981685.51139766 ,34980496.805647574 ,34978715.30629539 ,34841230.859320015 ,34839695.52244589 ,34837514.88725792 ,37070431.734656096 ,37066170.94194345 ,37286611.35179051 ,36498312.2340972 ,36650413.402954385 ,36490881.62291923 ,36306444.16677126 ,36302775.8175817 ,36297423.07605369 ,36123759.434462674 ,36122215.268238805 ,36119911.85028626 ,37819859.95784598 ,37818521.605315566 ,37823561.675202414 ,35560895.217108235 ,35559789.61361828 ,35566408.445011094 ,34911916.94636901 ,34910963.56083582 ,34909328.934286796 ,35958960.015408285 ,35957637.64955805 ,35956126.529068045 ,39275083.56888586 ,39273673.91913103 ,39271392.02482212 ,38167827.44382063 ,38166196.94552316 ,38163754.326554336 ,39636115.60869681 ,39634517.35028181 ,39632608.40409255 
 01/01  02:00:00,32900692.412743755 ,32899908.123852324 ,32899033.616355944 ,34090074.72104825 ,34088908.50414734 ,34087284.30432007 ,34343085.09087003 ,34341907.78366154 ,34340218.27591867 ,34491778.383242354 ,34490627.289998636 ,34488904.82943854 ,34049661.215614125 ,34048326.9179661 ,34046438.16137713 ,35716655.49349795 ,35713123.854071096 ,35869005.99710385 ,35503564.28969609 ,35613498.66173966 ,35498306.26379583 ,35306768.20513247 ,35303931.9359256 ,35299789.27819553 ,35405248.94709713 ,35404069.370415464 ,35402317.29615695 ,39211423.68997628 ,39210233.822364494 ,39215094.69740867 ,35048603.24690025 ,35047560.45233665 ,35053828.04496525 ,34502912.92639832 ,34501712.06206377 ,34499609.36634609 ,35316172.45340103 ,35314855.82081338 ,35313366.08679707 ,39987361.04051663 ,39985874.39831878 ,39983583.599417366 ,36789771.262076825 ,36788324.28075325 ,36786178.75191169 ,39106038.3865874 ,39106038.3865874 ,39106038.3865874 
 01/01  03:00:00,32893828.40452619 ,32893828.40452619 ,32893828.40452619 ,34038160.30620534 ,34037060.35083209 ,34035513.14322761 ,34281929.84248793 ,34280711.683652416 ,34278958.33621492 ,34460139.064955495 ,34458953.41995415 ,34457165.67155299 ,33909158.29299717 ,33907818.57954911 ,33905912.954746306 ,35403361.36392328 ,35397720.58512023 ,35534246.02034777 ,35241392.99570222 ,35301116.87363837 ,35238233.84301246 ,35095122.820861496 ,35093569.738635406 ,35091297.072317265 ,35304498.71610275 ,35303411.797441766 ,35301794.617640115 ,39160225.98608397 ,39159110.86789753 ,39163884.03402278 ,34990352.73298181 ,34989289.27102586 ,34995490.94312003 ,34367750.11756245 ,34366549.02029993 ,34364432.32766192 ,35222025.0775572 ,35220786.73661319 ,35219387.919359915 ,39949447.33117552 ,39947883.6626385 ,39945519.785864964 ,36068689.52213148 ,36067364.291146114 ,36065360.254343346 ,39106038.3865874 ,39106038.3865874 ,39106038.3865874 
 01/01  04:00:00,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28381215.936341584 ,28380273.496432558 ,28474850.586044095 ,28237618.832665414 ,28287216.271687966 ,28236652.128301658 ,28225961.563292123 ,28225746.755592316 ,28225430.34811162 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,32515059.472043484 ,32515059.472043484 ,32515059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,32515059.472043484 ,32515059.472043484 ,32515059.472043484 ,31075059.472043484 ,31075059.472043484 ,31075059.472043484 ,32515059.47204348 ,32515059.47204348 ,32515059.47204348 
 01/01  05:00:00,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28303360.95400772 ,28302920.93324992 ,28356725.93780187 ,28195059.47204348 ,28206668.84691445 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,32515059.47204348 ,32515059.47204348 ,32515059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,32515059.47204348 ,32515059.47204348 ,32515059.47204348 ,32515059.47204348 ,32515059.47204348 ,32515059.47204348 ,32515059.47204348 ,32515059.47204348 ,32515059.47204348 
 01/01  06:00:00,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,60597987.139336094 ,60594392.471234664 ,60752797.63413665 ,60002599.109484926 ,60108850.48103298 ,59996543.47099668 ,60177591.38175337 ,60174714.75741388 ,60170445.07990743 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,64054126.3717243 ,64054126.3717243 ,64054126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,64054126.3717243 ,64054126.3717243 ,64054126.3717243 ,64054126.3717243 ,64054126.3717243 ,64054126.3717243 ,64054126.3717243 ,64054126.3717243 ,64054126.3717243 
 01/01  07:00:00,84856354.40524974 ,84856486.78313461 ,84856683.09393471 ,84709710.71312758 ,84709710.71312758 ,84709710.71312758 ,84709710.71312758 ,84709710.71312758 ,84709710.71312758 ,84709710.71312758 ,84709710.71312758 ,84709710.71312758 ,84709710.71312758 ,84709710.71312758 ,84709710.71312758 ,86039645.52987343 ,86036986.4507259 ,86161608.75570959 ,85647509.67724851 ,85784241.8641753 ,85640560.74526873 ,85785136.0740765 ,85781989.90458399 ,85777368.76244521 ,84770700.04261222 ,84769970.70505357 ,84768914.05204126 ,89029710.71312758 ,89029710.71312758 ,89029710.71312758 ,84718533.1731803 ,84718545.61309321 ,84731490.61793311 ,84803322.85009949 ,84803398.22742143 ,84803516.11363782 ,84709710.71312758 ,84709710.71312758 ,84709710.71312758 ,89029710.71312758 ,89029710.71312758 ,89029710.71312758 ,89042483.01107442 ,89041765.15220332 ,89041791.29994935 ,89878472.7271575 ,89878909.91244309 ,89879551.94920646 
 01/01  08:00:00,227476798.0212659 ,226191440.0799147 ,224354863.25281295 ,221041864.685206 ,219654438.99443093 ,217725819.1534562 ,217104524.70095858 ,215775639.92659447 ,213876015.2863055 ,216667013.39975822 ,215305970.25163996 ,213361373.8952906 ,221701146.14766926 ,220413528.68903843 ,218574911.596191 ,217792183.88461316 ,216457429.37698236 ,214316858.4665671 ,219736285.7373196 ,218204867.42890874 ,216359243.44942895 ,226321233.83928093 ,224865766.4714055 ,222942854.91366822 ,228681368.71243116 ,227362793.72252554 ,225395855.21980166 ,246073235.6160251 ,244566563.22637624 ,242183185.97823602 ,231698114.77465022 ,230220298.12674984 ,228001450.04904062 ,230595340.74866286 ,229167638.57373995 ,227129811.41487452 ,228487246.13398567 ,226995270.7256604 ,224849202.0466622 ,261828871.635228 ,260160758.06507817 ,257752646.31357682 ,260060250.62094742 ,258376124.7590433 ,256141809.86758035 ,332411125.2006912 ,331372454.6489711 ,329877297.4869907 
 01/01  09:00:00,225560474.88404804 ,224274367.8509095 ,222436805.77124262 ,218992939.89399132 ,217623737.88787204 ,215654399.85435036 ,216027597.98234668 ,214687710.83577895 ,212772433.1898425 ,215371547.66019505 ,213998373.81275094 ,212036367.47694328 ,215239370.6473959 ,213930179.9470491 ,212060491.4193784 ,214684557.33380744 ,213337571.69454914 ,211410046.28700224 ,216692180.18744993 ,215282249.88661093 ,213372730.33526605 ,221857391.55772278 ,220495001.95393068 ,218580612.60171935 ,222954359.53811115 ,221540225.05369475 ,219545828.36889127 ,234325525.29736507 ,232885613.8410024 ,230649379.7544855 ,229511631.1792671 ,228028304.99313444 ,225810965.6401946 ,228464827.00853667 ,227036027.97689566 ,224996061.27034098 ,230496122.1309263 ,229004035.13474268 ,226869655.22615233 ,247518433.84934106 ,245918473.74965408 ,243630986.75802842 ,236608840.91681892 ,235116824.99200407 ,232978784.35886946 ,310740992.0083511 ,309657537.1246709 ,308098699.8132888 
 01/01  10:00:00,230607290.38453656 ,229318572.68255812 ,227477429.9822877 ,223733089.92194563 ,222356702.0584362 ,220385879.88970053 ,220641520.81471586 ,219296386.65230176 ,217373751.45417556 ,223466919.87428308 ,222091603.07373774 ,220126432.21636444 ,215540065.2607645 ,214219674.9843402 ,212331532.7239487 ,219235270.21337307 ,217847108.16592017 ,215967868.4317493 ,224061327.4408608 ,222753571.2439557 ,220034820.0118733 ,223462335.89328706 ,222084310.6452937 ,220117780.19212204 ,223828407.67751667 ,222405078.8357205 ,220382768.04371095 ,232452096.51164645 ,231040322.37830526 ,228793302.17956832 ,236093140.29998282 ,234608073.50248843 ,232391330.35964072 ,235087671.52013436 ,233657508.19522333 ,231614987.40321332 ,237801170.48198134 ,236306928.42968926 ,234169997.81732094 ,249072516.78886655 ,247482921.71261775 ,245210676.37952626 ,233374952.16167682 ,231841188.65626937 ,229647756.4571908 ,300731427.6236453 ,299586759.9757813 ,297996183.3752995 
