File Name,Net Site EUI (kWh/m2),Net Site Energy (kWh),Net Source EUI (kWh/m2),Net Source Energy (kWh)
CZ01/Asm&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-out.sql,103.57,654329.67,337.10,2129833.17
CZ01/Asm&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-out.sql,102.67,648674.57,334.11,2110945.13
CZ01/Asm&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-out.sql,101.39,640611.40,329.85,2084014.15
CZ01/ECC&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-out.sql,95.50,2521522.31,270.17,7133166.87
CZ01/ECC&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-out.sql,95.03,2508938.73,268.58,7091165.80
CZ01/ECC&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-out.sql,94.35,2491012.21,266.31,7031270.88
CZ01/EPr&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-out.sql,99.96,378394.15,251.22,950971.43
CZ01/EPr&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-out.sql,99.54,376808.41,249.82,945675.06
CZ01/EPr&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-out.sql,98.95,374549.87,247.83,938131.54
CZ01/ERC&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-out.sql,67.69,18135.01,144.10,38602.96
CZ01/ERC&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-out.sql,67.44,18065.58,143.23,38371.10
CZ01/ERC&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-out.sql,67.06,17965.08,141.98,38035.43
CZ01/ESe&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-out.sql,172.00,1188908.65,415.85,2874467.97
CZ01/ESe&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-out.sql,171.72,1186986.81,414.92,2867987.11
CZ01/ESe&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-out.sql,171.33,1184275.05,413.59,2858851.03
CZ01/EUn&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-out.sql,101.40,8080374.04,311.01,24784561.28
CZ01/EUn&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-out.sql,100.85,8036824.97,309.18,24639098.56
CZ01/EUn&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-out.sql,100.07,7974735.80,306.58,24431708.45
