skip,case_name,:heat_type,:combi,:cooling_coil_cop,:cooling_coil_cop2,:heating_coil_cop,:supplyfan_total_eff,:motor_eff,:ductless,:use_dummy_return_plenum,:vfd_curve_name,:coil_type,:hvac_type
,RE-dxAC_eq-pkgSEER-12.5-SEER2,,,3.65,,,0.12,0.24,FALSE,TRUE,,,unitary_system
,RE-dxAC_eq-pkgSEER-13.8-SEER2,,,3.89,,,0.12,0.24,FALSE,TRUE,,,unitary_system
,RE-dxAC_eq-pkgSEER-14.3-SEER2,,,3.97,,,0.12,0.24,FALSE,TRUE,,,unitary_system
,RE-dxAC_eq-pkgSEER-15.2-SEER2,,,4.11,,,0.12,0.24,FALSE,TRUE,,,unitary_system
,RE-dxAC_eq-pkgSEER-16.9-SEER2,,,4.33,4.39,,0.25,0.5,FALSE,TRUE,VFD_Fan_Curve,multispeed,unitary_system
,RE-dxAC_eq-pkgSEER-17.8-SEER2,,,4.43,4.49,,0.25,0.5,FALSE,TRUE,VFD_Fan_Curve,multispeed,unitary_system
,RE-dxAC_eq-pkgSEER-18.7-SEER2,,,4.51,4.58,,0.25,0.5,FALSE,TRUE,VFD_Fan_Curve,multispeed,unitary_system
,RE-dxAC_eq-pkgSEER-19.6-SEER2,,,4.58,4.65,,0.25,0.5,FALSE,TRUE,VFD_Fan_Curve,multispeed,unitary_system
,RE-dxHP_eq-pkgSEER-12.5-SEER2-6.4-HSPF2,DX,,3.65,,3.72,0.12,0.24,FALSE,TRUE,,,unitary_system
,RE-dxHP_eq-pkgSEER-14.3-SEER2-7.5-HSPF2,DX,,3.97,,4.01,0.12,0.24,FALSE,TRUE,,,unitary_system
,RE-dxHP_eq-pkgSEER-15.2-SEER2-7.7-HSPF2,DX,,4.11,,4.05,0.12,0.24,FALSE,TRUE,,,unitary_system
,RE-dxHP_eq-pkgSEER-16.0-SEER2-8.0-HSPF2,DX,,4.22,4.28,4.11,0.25,0.5,FALSE,TRUE,VFD_Fan_Curve,multispeed,unitary_system
,RE-dxHP_eq-pkgSEER-17.8-SEER2-8.1-HSPF2,DX,,4.43,4.49,4.13,0.25,0.5,FALSE,TRUE,VFD_Fan_Curve,multispeed,unitary_system
,RE-dxHP_eq-pkgSEER-18.7-SEER2-8.5-HSPF2,DX,,4.51,4.58,4.19,0.25,0.5,FALSE,TRUE,VFD_Fan_Curve,multispeed,unitary_system
,RE-dxHP_eq-pkgSEER-19.6-SEER2-8.9-HSPF2,DX,,4.58,4.65,4.24,0.25,0.5,FALSE,TRUE,VFD_Fan_Curve,multispeed,unitary_system
