File Name,BldgLoc,BldgType,Story,BldgHVAC,BldgVint,TechGroup,TechType,TechID,Cohort,Case,Value/Program Version and Build,Value/Weather File,Area/Conditioned Total,Electricity Intensity/HVAC,Natural Gas Intensity/HVAC,Electricity/Heating,Electricity/Cooling,Electricity/Interior Lighting,Electricity/Exterior Lighting,Electricity/Interior Equipment,Electricity/Exterior Equipment,Electricity/Fans,Electricity/Pumps,Electricity/Heat Rejection,Electricity/Humidification,Electricity/Heat Recovery,Electricity/Water Systems,Electricity/Refrigeration,Electricity/Generators,Electricity/Total End Uses,Natural Gas/Heating,Natural Gas/Cooling,Natural Gas/Interior Lighting,Natural Gas/Exterior Lighting,Natural Gas/Interior Equipment,Natural Gas/Exterior Equipment,Natural Gas/Fans,Natural Gas/Pumps,Natural Gas/Heat Rejection,Natural Gas/Humidification,Natural Gas/Heat Recovery,Natural Gas/Water Systems,Natural Gas/Refrigeration,Natural Gas/Generators,Natural Gas/Total End Uses,HeatCapDXGF,CoolCapDXGF,HeatCapDXHP,CoolCapDXHP
SWHC049-09 SEER Rated AC HP_SFm_New/runs/CZ16/SFm&2&rDXHP&New&dxHP_equip/RE-dxAC_eq-pkgSEER-12.5-SEER2/instance-out.sql,CZ16,SFm,2,rDXHP,New,dxHP_equip,,RE-dxAC_eq-pkgSEER-12.5-SEER2,SFm&2&rDXHP&New&dxHP_equip,RE-dxAC_eq-pkgSEER-12.5-SEER2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWHC049-09 SEER Rated AC HP_SFm_New/runs/CZ16/SFm&2&rDXHP&New&dxHP_equip/RE-dxAC_eq-pkgSEER-13.8-SEER2/instance-out.sql,CZ16,SFm,2,rDXHP,New,dxHP_equip,,RE-dxAC_eq-pkgSEER-13.8-SEER2,SFm&2&rDXHP&New&dxHP_equip,RE-dxAC_eq-pkgSEER-13.8-SEER2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWHC049-09 SEER Rated AC HP_SFm_New/runs/CZ16/SFm&2&rDXHP&New&dxHP_equip/RE-dxAC_eq-pkgSEER-14.3-SEER2/instance-out.sql,CZ16,SFm,2,rDXHP,New,dxHP_equip,,RE-dxAC_eq-pkgSEER-14.3-SEER2,SFm&2&rDXHP&New&dxHP_equip,RE-dxAC_eq-pkgSEER-14.3-SEER2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWHC049-09 SEER Rated AC HP_SFm_New/runs/CZ16/SFm&2&rDXHP&New&dxHP_equip/RE-dxAC_eq-pkgSEER-15.2-SEER2/instance-out.sql,CZ16,SFm,2,rDXHP,New,dxHP_equip,,RE-dxAC_eq-pkgSEER-15.2-SEER2,SFm&2&rDXHP&New&dxHP_equip,RE-dxAC_eq-pkgSEER-15.2-SEER2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWHC049-09 SEER Rated AC HP_SFm_New/runs/CZ16/SFm&2&rDXHP&New&dxHP_equip/RE-dxAC_eq-pkgSEER-16.9-SEER2/instance-out.sql,CZ16,SFm,2,rDXHP,New,dxHP_equip,,RE-dxAC_eq-pkgSEER-16.9-SEER2,SFm&2&rDXHP&New&dxHP_equip,RE-dxAC_eq-pkgSEER-16.9-SEER2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWHC049-09 SEER Rated AC HP_SFm_New/runs/CZ16/SFm&2&rDXHP&New&dxHP_equip/RE-dxAC_eq-pkgSEER-17.8-SEER2/instance-out.sql,CZ16,SFm,2,rDXHP,New,dxHP_equip,,RE-dxAC_eq-pkgSEER-17.8-SEER2,SFm&2&rDXHP&New&dxHP_equip,RE-dxAC_eq-pkgSEER-17.8-SEER2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWHC049-09 SEER Rated AC HP_SFm_New/runs/CZ16/SFm&2&rDXHP&New&dxHP_equip/RE-dxAC_eq-pkgSEER-18.7-SEER2/instance-out.sql,CZ16,SFm,2,rDXHP,New,dxHP_equip,,RE-dxAC_eq-pkgSEER-18.7-SEER2,SFm&2&rDXHP&New&dxHP_equip,RE-dxAC_eq-pkgSEER-18.7-SEER2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWHC049-09 SEER Rated AC HP_SFm_New/runs/CZ16/SFm&2&rDXHP&New&dxHP_equip/RE-dxAC_eq-pkgSEER-19.6-SEER2/instance-out.sql,CZ16,SFm,2,rDXHP,New,dxHP_equip,,RE-dxAC_eq-pkgSEER-19.6-SEER2,SFm&2&rDXHP&New&dxHP_equip,RE-dxAC_eq-pkgSEER-19.6-SEER2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWHC049-09 SEER Rated AC HP_SFm_New/runs/CZ16/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_eq-pkgSEER-12.5-SEER2-6.4-HSPF2/instance-out.sql,CZ16,SFm,2,rDXHP,New,dxHP_equip,,RE-dxHP_eq-pkgSEER-12.5-SEER2-6.4-HSPF2,SFm&2&rDXHP&New&dxHP_equip,RE-dxHP_eq-pkgSEER-12.5-SEER2-6.4-HSPF2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWHC049-09 SEER Rated AC HP_SFm_New/runs/CZ16/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_eq-pkgSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,CZ16,SFm,2,rDXHP,New,dxHP_equip,,RE-dxHP_eq-pkgSEER-14.3-SEER2-7.5-HSPF2,SFm&2&rDXHP&New&dxHP_equip,RE-dxHP_eq-pkgSEER-14.3-SEER2-7.5-HSPF2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
