File Name,Net Site EUI (kWh/m2),Net Site Energy (kWh),Net Source EUI (kWh/m2),Net Source Energy (kWh)
CZ01/SFm&1&rDXHP&Ex&dxHP_equip/RE-dxHP_eq-pkgSEER-12.5-SEER2-6.4-HSPF2/instance-out.sql,35.04,26948.37,71.80,55220.43
CZ01/SFm&1&rDXHP&Ex&dxHP_equip/RE-dxHP_eq-pkgSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,34.90,26840.84,71.35,54879.90
CZ01/SFm&1&rDXHP&Ex&dxHP_equip/RE-dxHP_eq-pkgSEER-16.0-SEER2-8.0-HSPF2/instance-out.sql,34.60,26607.89,70.39,54142.29
CZ01/SFm&1&rDXHP&Ex&dxHP_equip/RE-dxHP_eq-pkgSEER-17.8-SEER2-8.1-HSPF2/instance-out.sql,34.58,26599.64,70.36,54116.14
CZ01/SFm&1&rDXHP&Ex&dxHP_equip/RE-dxHP_eq-pkgSEER-18.7-SEER2-8.5-HSPF2/instance-out.sql,34.56,26580.41,70.28,54055.23
CZ01/SFm&1&rDXHP&Ex&dxHP_equip/RE-dxHP_eq-pkgSEER-19.6-SEER2-8.9-HSPF2/instance-out.sql,34.54,26564.77,70.22,54005.72
CZ01/SFm&2&rDXHP&Ex&dxHP_equip/RE-dxHP_eq-pkgSEER-12.5-SEER2-6.4-HSPF2/instance-out.sql,27.02,35026.37,60.50,78420.40
CZ01/SFm&2&rDXHP&Ex&dxHP_equip/RE-dxHP_eq-pkgSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,26.87,34832.02,60.02,77804.89
CZ01/SFm&2&rDXHP&Ex&dxHP_equip/RE-dxHP_eq-pkgSEER-16.0-SEER2-8.0-HSPF2/instance-out.sql,26.55,34417.22,59.01,76491.08
CZ01/SFm&2&rDXHP&Ex&dxHP_equip/RE-dxHP_eq-pkgSEER-17.8-SEER2-8.1-HSPF2/instance-out.sql,26.54,34400.78,58.97,76438.99
CZ01/SFm&2&rDXHP&Ex&dxHP_equip/RE-dxHP_eq-pkgSEER-18.7-SEER2-8.5-HSPF2/instance-out.sql,26.51,34366.08,58.89,76329.12
CZ01/SFm&2&rDXHP&Ex&dxHP_equip/RE-dxHP_eq-pkgSEER-19.6-SEER2-8.9-HSPF2/instance-out.sql,26.49,34337.86,58.82,76239.72
CZ02/SFm&1&rDXHP&Ex&dxHP_equip/RE-dxHP_eq-pkgSEER-12.5-SEER2-6.4-HSPF2/instance-out.sql,37.75,29031.99,80.96,62271.96
CZ02/SFm&1&rDXHP&Ex&dxHP_equip/RE-dxHP_eq-pkgSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,37.42,28783.95,79.94,61486.42
CZ02/SFm&1&rDXHP&Ex&dxHP_equip/RE-dxHP_eq-pkgSEER-16.0-SEER2-8.0-HSPF2/instance-out.sql,36.67,28201.06,77.54,59640.26
CZ02/SFm&1&rDXHP&Ex&dxHP_equip/RE-dxHP_eq-pkgSEER-17.8-SEER2-8.1-HSPF2/instance-out.sql,36.62,28166.88,77.40,59532.02
