File Name,Net Site EUI (kWh/m2),Net Source EUI (kWh/m2),Total Energy/Net Site Energy (kWh),Total Energy/Net Source Energy (kWh)
CZ01/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,40.63,74.27,208738.83,381531.56
CZ01/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,40.62,74.23,208680.16,381345.73
CZ01/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,40.61,74.20,208633.28,381197.29
CZ01/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,40.61,74.19,208613.99,381136.17
CZ02/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,39.22,75.03,201492.82,385463.73
CZ02/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,39.17,74.86,201211.41,384572.52
CZ02/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,39.12,74.70,200957.07,383767.02
CZ02/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,39.10,74.64,200857.01,383450.14
CZ03/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,39.36,75.39,202210.98,387286.06
CZ03/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,39.30,75.19,201893.69,386281.22
CZ03/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,39.24,75.01,201600.01,385351.13
CZ03/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,39.22,74.94,201485.44,384988.29
CZ04/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,39.77,79.08,204322.19,406225.36
CZ04/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,39.65,78.68,203687.25,404214.52
CZ04/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,39.53,78.32,203097.05,402345.36
CZ04/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,39.49,78.18,202867.15,401617.25
CZ05/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,39.21,74.97,201414.63,385134.63
CZ05/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,39.15,74.80,201130.92,384236.14
CZ05/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,39.10,74.64,200873.22,383419.99
CZ05/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,39.08,74.57,200772.02,383099.49
CZ06/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,37.17,72.81,190972.11,374021.20
CZ06/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,37.10,72.58,190610.08,372874.66
CZ06/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,37.03,72.36,190248.80,371730.47
CZ06/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,37.01,72.28,190111.43,371295.40
CZ07/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,36.60,71.66,188020.65,368141.66
CZ07/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,36.54,71.48,187728.02,367214.90
CZ07/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,36.49,71.30,187435.67,366289.03
CZ07/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,36.46,71.23,187324.54,365937.09
CZ08/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,37.90,76.24,194695.63,391676.20
CZ08/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,37.77,75.84,194033.25,389578.46
CZ08/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,37.64,75.42,193367.60,387470.34
CZ08/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,37.59,75.27,193115.07,386670.59
CZ09/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,38.01,77.13,195265.28,396208.92
CZ09/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,37.87,76.69,194564.33,393989.03
CZ09/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,37.74,76.27,193882.29,391829.01
CZ09/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,37.69,76.11,193620.74,391000.69
CZ10/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,37.54,75.94,192838.01,390132.79
CZ10/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,37.40,75.52,192146.97,387944.28
CZ10/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,37.27,75.09,191453.06,385746.66
CZ10/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,37.22,74.93,191189.74,384912.74
CZ11/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,39.75,81.42,204205.11,418272.09
CZ11/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,39.55,80.80,203198.68,415084.71
CZ11/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,39.36,80.18,202198.34,411916.63
CZ11/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,39.29,79.95,201817.45,410710.37
CZ12/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,38.27,75.58,196591.19,388269.71
CZ12/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,38.17,75.28,196098.07,386708.01
CZ12/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,38.08,74.99,195626.77,385215.39
CZ12/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,38.05,74.87,195444.94,384639.52
CZ13/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,39.75,82.96,204189.78,426176.96
CZ13/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,39.52,82.24,203020.74,422474.60
CZ13/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,39.29,81.52,201861.85,418804.42
CZ13/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,39.21,81.25,201420.21,417405.74
CZ14/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,37.43,77.46,192259.82,397913.65
CZ14/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,37.27,76.95,191437.52,395309.45
CZ14/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,37.11,76.46,190640.41,392784.98
CZ14/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,37.05,76.27,190334.34,391815.68
CZ15/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,39.60,89.59,203416.19,460257.11
CZ15/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,39.19,88.31,201327.10,453640.94
CZ15/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,38.78,87.00,199203.24,446914.67
CZ15/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,38.62,86.50,198400.58,444372.65
CZ16/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,39.95,77.57,205238.07,398467.59
CZ16/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,39.87,77.30,204805.45,397097.47
CZ16/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,39.79,77.06,204416.72,395866.37
CZ16/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,39.76,76.96,204263.48,395381.06

File Name,Total (kWh),Heating (kWh),Cooling (kWh),Interior Lighting (kWh),Exterior Lighting (kWh),Interior Equipment (kWh),Exterior Equipment (kWh),Fans (kWh),Pumps (kWh),Heat Rejection (kWh),Humidification (kWh),Heat Recovery (kWh),Water Systems (kWh),Refrigeration (kWh),Generators (kWh),Heating Elec (kWh),Cooling Elec (kWh),Heating NG (kWh),Cooling NG (kWh),Interior Equipment Elec (kWh),Interior Equipment NG (kWh)
CZ01/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,208738.84,1448.66,277.81,12897.22,0.0,73945.06,0.0,234.35,0.0,0.0,0.0,0.0,119935.72,0.0,0.0,1448.66,277.81,0.00,0.00,59678.04,14267.02
CZ01/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,208680.16,1406.36,261.43,12897.22,0.0,73945.06,0.0,234.35,0.0,0.0,0.0,0.0,119935.72,0.0,0.0,1406.36,261.43,0.00,0.00,59678.04,14267.02
CZ01/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,208633.28999999998,1376.22,244.7,12897.22,0.0,73945.06,0.0,234.35,0.0,0.0,0.0,0.0,119935.72,0.0,0.0,1376.22,244.70,0.00,0.00,59678.04,14267.02
CZ01/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,208613.99,1363.24,238.38,12897.22,0.0,73945.06,0.0,234.35,0.0,0.0,0.0,0.0,119935.72,0.0,0.0,1363.24,238.38,0.00,0.00,59678.04,14267.02
CZ02/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,201492.81,3701.69,3052.64,12897.22,0.0,73945.06,0.0,865.09,0.0,0.0,0.0,0.0,107031.11,0.0,0.0,3701.69,3052.64,0.00,0.00,59678.04,14267.02
CZ02/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,201211.41,3594.41,2878.52,12897.22,0.0,73945.06,0.0,865.09,0.0,0.0,0.0,0.0,107031.11,0.0,0.0,3594.41,2878.52,0.00,0.00,59678.04,14267.02
CZ02/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,200957.06,3517.97,2700.61,12897.22,0.0,73945.06,0.0,865.09,0.0,0.0,0.0,0.0,107031.11,0.0,0.0,3517.97,2700.61,0.00,0.00,59678.04,14267.02
CZ02/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,200857.01,3485.04,2633.49,12897.22,0.0,73945.06,0.0,865.09,0.0,0.0,0.0,0.0,107031.11,0.0,0.0,3485.04,2633.49,0.00,0.00,59678.04,14267.02
CZ03/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,202210.97999999998,3377.89,3821.98,12897.22,0.0,73945.06,0.0,920.66,0.0,0.0,0.0,0.0,107248.15,0.0,0.0,3377.89,3821.98,0.00,0.00,59678.04,14267.02
CZ03/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,201893.7,3279.28,3603.3,12897.22,0.0,73945.06,0.0,920.66,0.0,0.0,0.0,0.0,107248.15,0.0,0.0,3279.28,3603.30,0.00,0.00,59678.04,14267.02
CZ03/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,201600.02,3209.03,3379.88,12897.22,0.0,73945.06,0.0,920.66,0.0,0.0,0.0,0.0,107248.15,0.0,0.0,3209.03,3379.88,0.00,0.00,59678.04,14267.02
CZ03/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,201485.45,3178.76,3295.58,12897.22,0.0,73945.06,0.0,920.66,0.0,0.0,0.0,0.0,107248.15,0.0,0.0,3178.76,3295.58,0.00,0.00,59678.04,14267.02
CZ04/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,204322.19,6482.53,7893.44,12897.22,0.0,73945.06,0.0,1738.21,0.0,0.0,0.0,0.0,101365.72,0.0,0.0,6482.53,7893.44,0.00,0.00,59678.04,14267.02
CZ04/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,203687.26,6293.26,7447.78,12897.22,0.0,73945.06,0.0,1738.21,0.0,0.0,0.0,0.0,101365.72,0.0,0.0,6293.26,7447.78,0.00,0.00,59678.04,14267.02
CZ04/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,203097.06,6158.4,6992.43,12897.22,0.0,73945.06,0.0,1738.21,0.0,0.0,0.0,0.0,101365.72,0.0,0.0,6158.40,6992.43,0.00,0.00,59678.04,14267.02
CZ04/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,202867.15,6100.3,6820.63,12897.22,0.0,73945.06,0.0,1738.21,0.0,0.0,0.0,0.0,101365.72,0.0,0.0,6100.30,6820.63,0.00,0.00,59678.04,14267.02
CZ05/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,201414.63,3563.28,3049.05,12897.22,0.0,73945.06,0.0,889.78,0.0,0.0,0.0,0.0,107070.22,0.0,0.0,3563.28,3049.05,0.00,0.00,59678.04,14267.02
CZ05/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,201130.91999999998,3459.26,2869.36,12897.22,0.0,73945.06,0.0,889.78,0.0,0.0,0.0,0.0,107070.22,0.0,0.0,3459.26,2869.36,0.00,0.00,59678.04,14267.02
CZ05/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,200873.22,3385.14,2685.77,12897.22,0.0,73945.06,0.0,889.78,0.0,0.0,0.0,0.0,107070.22,0.0,0.0,3385.14,2685.77,0.00,0.00,59678.04,14267.02
CZ05/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,200772.02000000002,3353.21,2616.5,12897.22,0.0,73945.06,0.0,889.78,0.0,0.0,0.0,0.0,107070.22,0.0,0.0,3353.21,2616.50,0.00,0.00,59678.04,14267.02
CZ06/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,190972.11,953.5,5676.83,12897.22,0.0,73945.06,0.0,970.8,0.0,0.0,0.0,0.0,96528.69,0.0,0.0,953.50,5676.83,0.00,0.00,59678.04,14267.02
CZ06/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,190610.09,925.66,5342.64,12897.22,0.0,73945.06,0.0,970.8,0.0,0.0,0.0,0.0,96528.69,0.0,0.0,925.66,5342.64,0.00,0.00,59678.04,14267.02
CZ06/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,190248.8,905.83,5001.19,12897.22,0.0,73945.06,0.0,970.8,0.0,0.0,0.0,0.0,96528.69,0.0,0.0,905.83,5001.19,0.00,0.00,59678.04,14267.02
CZ06/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,190111.43,897.28,4872.36,12897.22,0.0,73945.06,0.0,970.8,0.0,0.0,0.0,0.0,96528.69,0.0,0.0,897.28,4872.36,0.00,0.00,59678.04,14267.02
CZ07/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,188020.64,734.76,4775.69,12897.22,0.0,73945.06,0.0,804.0,0.0,0.0,0.0,0.0,94863.91,0.0,0.0,734.76,4775.69,0.00,0.00,59678.04,14267.02
CZ07/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,187728.02,713.3,4504.52,12897.22,0.0,73945.06,0.0,804.0,0.0,0.0,0.0,0.0,94863.91,0.0,0.0,713.30,4504.52,0.00,0.00,59678.04,14267.02
CZ07/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,187435.65999999997,698.02,4227.45,12897.22,0.0,73945.06,0.0,804.0,0.0,0.0,0.0,0.0,94863.91,0.0,0.0,698.02,4227.45,0.00,0.00,59678.04,14267.02
CZ07/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,187324.53999999998,691.43,4122.91,12897.22,0.0,73945.06,0.0,804.0,0.0,0.0,0.0,0.0,94863.91,0.0,0.0,691.43,4122.91,0.00,0.00,59678.04,14267.02
CZ08/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,194695.62,1230.71,11171.98,12897.22,0.0,73945.06,0.0,1736.47,0.0,0.0,0.0,0.0,93714.18,0.0,0.0,1230.71,11171.98,0.00,0.00,59678.04,14267.02
CZ08/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,194033.25,1194.78,10545.54,12897.22,0.0,73945.06,0.0,1736.47,0.0,0.0,0.0,0.0,93714.18,0.0,0.0,1194.78,10545.54,0.00,0.00,59678.04,14267.02
CZ08/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,193367.59999999998,1169.18,9905.49,12897.22,0.0,73945.06,0.0,1736.47,0.0,0.0,0.0,0.0,93714.18,0.0,0.0,1169.18,9905.49,0.00,0.00,59678.04,14267.02
CZ08/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,193115.07,1158.15,9663.99,12897.22,0.0,73945.06,0.0,1736.47,0.0,0.0,0.0,0.0,93714.18,0.0,0.0,1158.15,9663.99,0.00,0.00,59678.04,14267.02
CZ09/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,195265.28,3779.99,10384.36,12897.22,0.0,73945.06,0.0,1854.41,0.0,0.0,0.0,0.0,92404.22,0.0,0.0,3779.99,10384.36,0.00,0.00,59678.04,14267.02
CZ09/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,194564.34,3669.63,9793.78,12897.22,0.0,73945.06,0.0,1854.41,0.0,0.0,0.0,0.0,92404.22,0.0,0.0,3669.63,9793.78,0.00,0.00,59678.04,14267.02
CZ09/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,193882.28999999998,3590.99,9190.38,12897.22,0.0,73945.06,0.0,1854.41,0.0,0.0,0.0,0.0,92404.22,0.0,0.0,3590.99,9190.38,0.00,0.00,59678.04,14267.02
CZ09/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,193620.75,3557.12,8962.71,12897.22,0.0,73945.06,0.0,1854.41,0.0,0.0,0.0,0.0,92404.22,0.0,0.0,3557.12,8962.71,0.00,0.00,59678.04,14267.02
